# Last updated: 2026-07-20
# Scope: Doctor Who (2005), Doctor Who (2023), Torchwood, The Sarah Jane Adventures and Class, all holiday/anniversary specials; excludes other specials, minisodes and prequels, the Classic Doctor Who (1963) and the 1996 TV Movie
# Ordered by air date and time per TVmaze
tvdb_episode:79708_2_6  # S02E06 - SECRETS OF THE STARS Part Two
tvdb_episode:79708_2_7  # S02E07 - THE MARK OF THE BERSERKER Part One
tvdb_episode:79708_2_8  # S02E08 - THE MASK OF THE BERSERKER Part Two
tvdb_episode:79708_2_9  # S02E09 - THE TEMPTATION OF SARAH JANE SMITH Part One
tvdb_episode:79708_2_10  # S02E10 - THE TEMPTATION OF SARAH JANE SMITH Part Two
tvdb_episode:79708_2_11  # S02E11 - ENEMY OF THE BANE Part One
tvdb_episode:79708_2_12  # S02E12 - ENEMY OF THE BANE Part Two
tvdb_episode:78804_0_9  # S00E09 - The Next Doctor
tvdb_episode:78804_0_13  # S00E13 - Planet of the Dead
tvdb_episode:79511_3_1  # S03E01 - Day One
tvdb_episode:79511_3_2  # S03E02 - Day Two
tvdb_episode:79511_3_3  # S03E03 - Day Three
tvdb_episode:79511_3_4  # S03E04 - Day Four
tvdb_episode:79511_3_5  # S03E05 - Day Five
tvdb_episode:79708_3_1  # S03E01 - PRISONER OF THE JUDOON Part One
tvdb_episode:79708_3_2  # S03E02 - PRISONER OF THE JUDOON Part Two
tvdb_episode:79708_3_3  # S03E03 - THE MAD WOMAN IN THE ATTIC Part One
tvdb_episode:79708_3_4  # S03E04 - THE MAD WOMAN IN THE ATTIC Part Two
tvdb_episode:79708_3_5  # S03E05 - THE WEDDING OF SARAH JANE SMITH Part One
tvdb_episode:79708_3_6  # S03E06 - THE WEDDING OF SARAH JANE SMITH Part Two
tvdb_episode:79708_3_7  # S03E07 - THE ETERNITY TRAP Part One
tvdb_episode:79708_3_8  # S03E08 - THE ETERNITY TRAP Part Two
tvdb_episode:79708_3_9  # S03E09 - MONA LISA'S REVENGE Part One
tvdb_episode:79708_3_10  # S03E10 - MONA LISA'S REVENGE Part Two
tvdb_episode:78804_0_14  # S00E14 - The Waters of Mars
tvdb_episode:79708_3_11  # S03E11 - THE GIFT Part One
tvdb_episode:79708_3_12  # S03E12 - THE GIFT Part Two
tvdb_episode:78804_0_16  # S00E16 - The End of Time - Part One
tvdb_episode:78804_0_17  # S00E17 - The End of Time - Part Two
tvdb_episode:78804_5_1  # S05E01 - The Eleventh Hour
tvdb_episode:78804_5_2  # S05E02 - The Beast Below
tvdb_episode:78804_5_3  # S05E03 - Victory of the Daleks
tvdb_episode:78804_5_4  # S05E04 - The Time of Angels
tvdb_episode:78804_5_5  # S05E05 - Flesh and Stone
tvdb_episode:78804_5_6  # S05E06 - The Vampires of Venice
tvdb_episode:78804_5_7  # S05E07 - Amy's Choice
tvdb_episode:78804_5_8  # S05E08 - The Hungry Earth
tvdb_episode:78804_5_9  # S05E09 - Cold Blood
tvdb_episode:78804_5_10  # S05E10 - Vincent and the Doctor
tvdb_episode:78804_5_11  # S05E11 - The Lodger
tvdb_episode:78804_5_12  # S05E12 - The Pandorica Opens
tvdb_episode:78804_5_13  # S05E13 - The Big Bang
tvdb_episode:79708_4_1  # S04E01 - THE NIGHTMARE MAN Part One
tvdb_episode:79708_4_2  # S04E02 - THE NIGHTMARE MAN Part Two
tvdb_episode:79708_4_3  # S04E03 - THE VAULT OF SECRETS Part One
tvdb_episode:79708_4_4  # S04E04 - THE VAULT OF SECRETS Part Two
tvdb_episode:79708_4_5  # S04E05 - DEATH OF THE DOCTOR Part One
tvdb_episode:79708_4_6  # S04E06 - DEATH OF THE DOCTOR Part Two
tvdb_episode:79708_4_7  # S04E07 - THE EMPTY PLANET Part One
tvdb_episode:79708_4_8  # S04E08 - THE EMPTY PLANET Part Two
tvdb_episode:79708_4_9  # S04E09 - LOST IN TIME Part One
tvdb_episode:79708_4_10  # S04E10 - LOST IN TIME Part Two
tvdb_episode:79708_4_11  # S04E11 - GOODBYE, SARAH JANE SMITH Part One
tvdb_episode:79708_4_12  # S04E12 - GOODBYE, SARAH JANE SMITH Part Two
tvdb_episode:78804_0_34  # S00E34 - A Christmas Carol
tvdb_episode:78804_6_1  # S06E01 - The Impossible Astronaut
